report_period_start,report_period_end,interval_start,interval_end,node,namespace,pod,pod_usage_cpu_core_seconds,pod_request_cpu_core_seconds,pod_limit_cpu_core_seconds,pod_usage_memory_byte_seconds,pod_request_memory_byte_seconds,pod_limit_memory_byte_seconds,node_capacity_cpu_cores,node_capacity_cpu_core_seconds,node_capacity_memory_bytes,node_capacity_memory_byte_seconds,resource_id,pod_labels
2020-10-01 00:00:00 +0000 UTC,2020-11-01 00:00:00 +0000 UTC,2020-10-14 00:00:00 +0000 UTC,2020-10-14 00:59:59 +0000 UTC,ip-10-0-131-45.us-east-2.compute.internal,openshift-machine-config-operator,machine-config-daemon-xfgdg,3.423976,144.000000,,1199488942080.000000,377487360000.000000,,8.000000,28800.000000,33237319680.000000,119654350848000.000000,i-0cc922391a4a5eaa7,label_controller_revision_hash:545894cd9f|label_k8s_app:machine-config-daemon|label_pod_template_generation:2
2020-10-01 00:00:00 +0000 UTC,2020-11-01 00:00:00 +0000 UTC,2020-10-14 00:00:00 +0000 UTC,2020-10-14 00:59:59 +0000 UTC,ip-10-0-219-114.us-east-2.compute.internal,openshift-console-operator,console-operator-84b95c8888-kxzm4,12.916763,36.000000,,376861900800.000000,377487360000.000000,,4.000000,14400.000000,16502939648.000000,59410582732800.000000,i-021cff580ef932a9e,label_name:console-operator|label_pod_template_hash:84b95c8888
2020-10-01 00:00:00 +0000 UTC,2020-11-01 00:00:00 +0000 UTC,2020-10-14 00:00:00 +0000 UTC,2020-10-14 00:59:59 +0000 UTC,ip-10-0-131-45.us-east-2.compute.internal,openshift-monitoring,thanos-querier-659477c4f4-9bmfw,16.997142,28.800000,,633476136960.000000,271790899200.000000,,8.000000,28800.000000,33237319680.000000,119654350848000.000000,i-0cc922391a4a5eaa7,label_app_kubernetes_io_name:thanos-querier|label_pod_template_hash:659477c4f4
2020-10-01 00:00:00 +0000 UTC,2020-11-01 00:00:00 +0000 UTC,2020-10-14 00:00:00 +0000 UTC,2020-10-14 00:59:59 +0000 UTC,ip-10-0-184-8.us-east-2.compute.internal,openshift-kube-controller-manager,kube-controller-manager-ip-10-0-184-8.us-east-2.compute.internal,15.453744,360.000000,,906678927360.000000,1887436800000.000000,,4.000000,14400.000000,16326778880.000000,58776403968000.000000,i-0c65e015390b20c42,label_app:kube-controller-manager|label_kube_controller_manager:true|label_revision:10
2020-10-01 00:00:00 +0000 UTC,2020-11-01 00:00:00 +0000 UTC,2020-10-14 00:00:00 +0000 UTC,2020-10-14 00:59:59 +0000 UTC,ip-10-0-147-111.us-east-2.compute.internal,openshift-operator-lifecycle-manager,catalog-operator-55f6765f6c-nh8ff,12.395422,36.000000,,537875251200.000000,301989888000.000000,,4.000000,14400.000000,16502939648.000000,59410582732800.000000,i-0dd2eab633b37c882,label_app:catalog-operator|label_pod_template_hash:55f6765f6c
2020-10-01 00:00:00 +0000 UTC,2020-11-01 00:00:00 +0000 UTC,2020-10-14 00:00:00 +0000 UTC,2020-10-14 00:59:59 +0000 UTC,ip-10-0-147-111.us-east-2.compute.internal,openshift-multus,multus-admission-controller-25vpc,2.148571,72.000000,,251709358080.000000,75497472000.000000,,4.000000,14400.000000,16502939648.000000,59410582732800.000000,i-0dd2eab633b37c882,label_app:multus-admission-controller|label_component:network|label_controller_revision_hash:7b7b7f6987|label_namespace:openshift-multus|label_openshift_io_component:network|label_pod_template_generation:1|label_type:infra
2020-10-01 00:00:00 +0000 UTC,2020-11-01 00:00:00 +0000 UTC,2020-10-14 00:00:00 +0000 UTC,2020-10-14 00:59:59 +0000 UTC,ip-10-0-131-45.us-east-2.compute.internal,openshift-monitoring,node-exporter-rmrwb,35.433551,32.400000,,244238499840.000000,792723456000.000000,,8.000000,28800.000000,33237319680.000000,119654350848000.000000,i-0cc922391a4a5eaa7,label_app:node-exporter|label_controller_revision_hash:664bff5786|label_pod_template_generation:1
2020-10-01 00:00:00 +0000 UTC,2020-11-01 00:00:00 +0000 UTC,2020-10-14 00:00:00 +0000 UTC,2020-10-14 00:59:59 +0000 UTC,ip-10-0-219-114.us-east-2.compute.internal,openshift-kube-scheduler,openshift-kube-scheduler-ip-10-0-219-114.us-east-2.compute.internal,13.602822,72.000000,,514067988480.000000,377487360000.000000,,4.000000,14400.000000,16502939648.000000,59410582732800.000000,i-021cff580ef932a9e,label_app:openshift-kube-scheduler|label_revision:10|label_scheduler:true
2020-10-01 00:00:00 +0000 UTC,2020-11-01 00:00:00 +0000 UTC,2020-10-14 00:00:00 +0000 UTC,2020-10-14 00:59:59 +0000 UTC,ip-10-0-219-114.us-east-2.compute.internal,openshift-apiserver,apiserver-64775f7c48-jrzcf,36.746523,360.000000,,1115232583680.000000,754974720000.000000,,4.000000,14400.000000,16502939648.000000,59410582732800.000000,i-021cff580ef932a9e,label_apiserver:true|label_app:openshift-apiserver-a|label_pod_template_hash:64775f7c48|label_revision:0
2020-10-01 00:00:00 +0000 UTC,2020-11-01 00:00:00 +0000 UTC,2020-10-14 00:00:00 +0000 UTC,2020-10-14 00:59:59 +0000 UTC,ip-10-0-147-111.us-east-2.compute.internal,openshift-etcd-operator,etcd-operator-685dd99d46-tq2c2,53.735135,36.000000,,576033669120.000000,188743680000.000000,,4.000000,14400.000000,16502939648.000000,59410582732800.000000,i-0dd2eab633b37c882,label_app:etcd-operator|label_pod_template_hash:685dd99d46
2020-10-01 00:00:00 +0000 UTC,2020-11-01 00:00:00 +0000 UTC,2020-10-14 00:00:00 +0000 UTC,2020-10-14 00:59:59 +0000 UTC,ip-10-0-179-157.us-east-2.compute.internal,openshift-dns,dns-default-697rq,7.111942,396.000000,,288417054720.000000,264241152000.000000,1932735283200.000000,8.000000,28800.000000,33237319680.000000,119654350848000.000000,i-0767cb7e2f9967573,label_controller_revision_hash:95cc96b59|label_dns_operator_openshift_io_daemonset_dns:default|label_pod_template_generation:1
2020-10-01 00:00:00 +0000 UTC,2020-11-01 00:00:00 +0000 UTC,2020-10-14 00:00:00 +0000 UTC,2020-10-14 00:59:59 +0000 UTC,ip-10-0-147-111.us-east-2.compute.internal,openshift-etcd,etcd-ip-10-0-147-111.us-east-2.compute.internal,704.877065,1656.000000,,3262847385600.000000,3472883712000.000000,,4.000000,14400.000000,16502939648.000000,59410582732800.000000,i-0dd2eab633b37c882,label_app:etcd|label_etcd:true|label_k8s_app:etcd|label_revision:2
2020-10-01 00:00:00 +0000 UTC,2020-11-01 00:00:00 +0000 UTC,2020-10-14 00:00:00 +0000 UTC,2020-10-14 00:59:59 +0000 UTC,ip-10-0-219-114.us-east-2.compute.internal,openshift-kube-scheduler,installer-10-ip-10-0-219-114.us-east-2.compute.internal,,540.000000,540.000000,,360000000000.000000,360000000000.000000,4.000000,14400.000000,16502939648.000000,59410582732800.000000,i-021cff580ef932a9e,label_app:installer
2020-10-01 00:00:00 +0000 UTC,2020-11-01 00:00:00 +0000 UTC,2020-10-14 00:00:00 +0000 UTC,2020-10-14 00:59:59 +0000 UTC,ip-10-0-147-111.us-east-2.compute.internal,openshift-monitoring,prometheus-operator-5d4cf4d7f5-h8jr9,10.328730,18.000000,,269448806400.000000,226492416000.000000,,4.000000,14400.000000,16502939648.000000,59410582732800.000000,i-0dd2eab633b37c882,label_app_kubernetes_io_component:controller|label_app_kubernetes_io_name:prometheus-operator|label_app_kubernetes_io_version:v0.35.1|label_pod_template_hash:5d4cf4d7f5
2020-10-01 00:00:00 +0000 UTC,2020-11-01 00:00:00 +0000 UTC,2020-10-14 00:00:00 +0000 UTC,2020-10-14 00:59:59 +0000 UTC,ip-10-0-131-45.us-east-2.compute.internal,openshift-cost,korekuta-operator-go-controller-manager-6df967774f-hq5cq,0.437742,14.400000,72.000000,27246919680.000000,3019898880.000000,75497472000.000000,8.000000,28800.000000,33237319680.000000,119654350848000.000000,i-0cc922391a4a5eaa7,
2020-10-01 00:00:00 +0000 UTC,2020-11-01 00:00:00 +0000 UTC,2020-10-14 00:00:00 +0000 UTC,2020-10-14 00:59:59 +0000 UTC,ip-10-0-184-8.us-east-2.compute.internal,openshift-etcd,etcd-ip-10-0-184-8.us-east-2.compute.internal,624.074028,1656.000000,,3226249297920.000000,3472883712000.000000,,4.000000,14400.000000,16326778880.000000,58776403968000.000000,i-0c65e015390b20c42,label_app:etcd|label_etcd:true|label_k8s_app:etcd|label_revision:2
2020-10-01 00:00:00 +0000 UTC,2020-11-01 00:00:00 +0000 UTC,2020-10-14 00:00:00 +0000 UTC,2020-10-14 00:59:59 +0000 UTC,ip-10-0-179-157.us-east-2.compute.internal,openshift-monitoring,prometheus-adapter-7b9fb465c5-d2fkj,2.135851,3.600000,,213952020480.000000,75497472000.000000,,8.000000,28800.000000,33237319680.000000,119654350848000.000000,i-0767cb7e2f9967573,label_name:prometheus-adapter|label_pod_template_hash:7b9fb465c5
2020-10-01 00:00:00 +0000 UTC,2020-11-01 00:00:00 +0000 UTC,2020-10-14 00:00:00 +0000 UTC,2020-10-14 00:59:59 +0000 UTC,ip-10-0-131-45.us-east-2.compute.internal,openshift-cluster-node-tuning-operator,tuned-h5tq8,0.770918,36.000000,,287907840000.000000,188743680000.000000,,8.000000,28800.000000,33237319680.000000,119654350848000.000000,i-0cc922391a4a5eaa7,label_controller_revision_hash:b66dccb99|label_openshift_app:tuned|label_pod_template_generation:2
2020-10-01 00:00:00 +0000 UTC,2020-11-01 00:00:00 +0000 UTC,2020-10-14 00:00:00 +0000 UTC,2020-10-14 00:59:59 +0000 UTC,ip-10-0-184-8.us-east-2.compute.internal,openshift-controller-manager,controller-manager-5vjz5,18.453133,360.000000,,546078474240.000000,377487360000.000000,,4.000000,14400.000000,16326778880.000000,58776403968000.000000,i-0c65e015390b20c42,label_app:openshift-controller-manager|label_controller_manager:true|label_controller_revision_hash:7f6999c885|label_pod_template_generation:16
2020-10-01 00:00:00 +0000 UTC,2020-11-01 00:00:00 +0000 UTC,2020-10-14 00:00:00 +0000 UTC,2020-10-14 00:59:59 +0000 UTC,ip-10-0-179-157.us-east-2.compute.internal,openshift-marketplace,community-operators-58b6bc85d6-65b28,41.786341,36.000000,,1987710320640.000000,377487360000.000000,,8.000000,28800.000000,33237319680.000000,119654350848000.000000,i-0767cb7e2f9967573,label_marketplace_operatorSource:community-operators|label_pod_template_hash:58b6bc85d6
2020-10-01 00:00:00 +0000 UTC,2020-11-01 00:00:00 +0000 UTC,2020-10-14 00:00:00 +0000 UTC,2020-10-14 00:59:59 +0000 UTC,ip-10-0-219-114.us-east-2.compute.internal,openshift-sdn,ovs-qm2pn,68.510340,360.000000,,337913118720.000000,1509949440000.000000,,4.000000,14400.000000,16502939648.000000,59410582732800.000000,i-021cff580ef932a9e,label_app:ovs|label_component:network|label_controller_revision_hash:78749b5864|label_openshift_io_component:network|label_pod_template_generation:1|label_type:infra
2020-10-01 00:00:00 +0000 UTC,2020-11-01 00:00:00 +0000 UTC,2020-10-14 00:00:00 +0000 UTC,2020-10-14 00:59:59 +0000 UTC,ip-10-0-184-8.us-east-2.compute.internal,openshift-apiserver,apiserver-64775f7c48-t9lnk,34.866930,360.000000,,1061254594560.000000,754974720000.000000,,4.000000,14400.000000,16326778880.000000,58776403968000.000000,i-0c65e015390b20c42,label_apiserver:true|label_app:openshift-apiserver-a|label_pod_template_hash:64775f7c48|label_revision:0
2020-10-01 00:00:00 +0000 UTC,2020-11-01 00:00:00 +0000 UTC,2020-10-14 00:00:00 +0000 UTC,2020-10-14 00:59:59 +0000 UTC,ip-10-0-131-45.us-east-2.compute.internal,openshift-metering,hive-metastore-0,113.088201,1800.000000,14400.000000,2241540587520.000000,2453667840000.000000,7730941132800.000000,8.000000,28800.000000,33237319680.000000,119654350848000.000000,i-0cc922391a4a5eaa7,label_app:hive|label_controller_revision_hash:hive-metastore-6c6c745f76|label_hive:metastore|label_statefulset_kubernetes_io_pod_name:hive-metastore-0
2020-10-01 00:00:00 +0000 UTC,2020-11-01 00:00:00 +0000 UTC,2020-10-14 00:00:00 +0000 UTC,2020-10-14 00:59:59 +0000 UTC,ip-10-0-219-114.us-east-2.compute.internal,openshift-kube-scheduler,revision-pruner-10-ip-10-0-219-114.us-east-2.compute.internal,,540.000000,540.000000,,360000000000.000000,360000000000.000000,4.000000,14400.000000,16502939648.000000,59410582732800.000000,i-021cff580ef932a9e,label_app:pruner
2020-10-01 00:00:00 +0000 UTC,2020-11-01 00:00:00 +0000 UTC,2020-10-14 00:00:00 +0000 UTC,2020-10-14 00:59:59 +0000 UTC,ip-10-0-219-114.us-east-2.compute.internal,openshift-service-ca,service-ca-7c89b6dd78-79zsr,10.107414,36.000000,,377107906560.000000,452984832000.000000,,4.000000,14400.000000,16502939648.000000,59410582732800.000000,i-021cff580ef932a9e,label_app:service-ca|label_pod_template_hash:7c89b6dd78|label_service_ca:true
